Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       71     0.00     0.00  User const& std::forward<User const&>(std::remove_reference<User const&>::type&)
  0.00      0.00     0.00       68     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       54     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00       53     0.00     0.00  std::_Vector_base<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00       50     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >::base() const
  0.00      0.00     0.00       45     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.00     0.00       44     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<Group> >::~new_allocator()
  0.00      0.00     0.00       44     0.00     0.00  std::allocator<std::shared_ptr<Group> >::~allocator()
  0.00      0.00     0.00       39     0.00     0.00  __gnu_cxx::__exchange_and_add_single(int*, int)
  0.00      0.00     0.00       39     0.00     0.00  __gnu_cxx::__exchange_and_add_dispatch(int*, int)
  0.00      0.00     0.00       38     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<Group> >::new_allocator(__gnu_cxx::new_allocator<std::shared_ptr<Group> > const&)
  0.00      0.00     0.00       38     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >::__normal_iterator(std::shared_ptr<Group> const* const&)
  0.00      0.00     0.00       38     0.00     0.00  std::allocator<std::shared_ptr<Group> >::allocator(std::allocator<std::shared_ptr<Group> > const&)
  0.00      0.00     0.00       31     0.00     0.00  Account::~Account()
  0.00      0.00     0.00       31     0.00     0.00  std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > >::size() const
  0.00      0.00     0.00       30     0.00     0.00  std::shared_ptr<User>&& std::forward<std::shared_ptr<User> >(std::remove_reference<std::shared_ptr<User> >::type&)
